source_as,target_as,path_length
11290-CA-QC,7922-US-WA,2
28118-DO-21,7018-US-FL,2
7922-US-MA,29314-PL-02,2
7922-US-CA,36884-MA-04,2
2516-JP-,7018-US-,2
702-DE-HE,4134-CN-,2
2381-US-WI,559-CH-ZH,2
7922-US-MI,32067-US-,2
8075-IN-MH,4010-US-CO,2
3356-US-TX,17623-CN-GD,2
9812-CN-,3320-DE-NI,2
4230-BR-SP,4766-KR-41,2
22724-EC-A,26615-BR-RJ,2
17676-JP-27,20940-JP-27,2
15557-FR-HDF,4134-CN-GD,2
17676-JP-27,20940-US-,2
7018-US-TX,577-CA-QC,2
37168-ZA-GP,7922-US-MI,2
36947-DZ-16,12389-RU-ROS,2
20940-JP-13,12389-RU-SPE,2
3320-DE-BY,9498-IN-TN,2
2119-NO-30,8151-MX-NLE,2
7018-US-,13999-MX-SON,2
6327-CA-BC,9824-JP-13,2
55836-IN-,12701-US-,2
749-US-,8708-RO-B,2
7018-US-,15557-FR-IDF,2
21928-US-,50266-NL-NH,2
3320-DE-NW,226-US-,2
4134-CN-,13999-MX-JAL,2
4134-CN-,25400-NO-38,2
7018-US-TX,8402-RU-,2
7029-US-GA,4766-KR-11,2
7029-US-GA,39855-NL-NH,2
17676-JP-14,2527-JP-11,2
20478-CN-SH,4249-GB-ENG,2
37100-ZA-WC,5650-US-CA,2
42848-LU-,7922-US-FL,2
3301-SE-O,7029-US-NC,2
4134-CN-GD,20473-SG-,2
4134-CN-,9583-IN-KA,2
9050-RO-IS,7738-BR-MG,2
12400-IL-TA,11492-US-AZ,2
20055-US-WA,7922-US-CA,2
4134-CN-,1781-KR-30,2
31898-KR-42,7018-US-CA,2
7922-US-MA,7575-AU-SA,2
749-US-,5578-SK-BL,2
701-US-PA,20115-US-MO,2
7922-US-CO,8220-DE-HE,2
4788-MY-14,22773-US-CA,2
9829-IN-KL,8151-MX-VER,2
4134-CN-GD,11172-MX-,2
4788-MY-14,7922-US-IL,2
3-US-MA,4538-CN-,2
7922-US-MA,12455-KE-30,2
7922-US-FL,36992-EG-,2
6453-GB-,3352-ES-VC,2
4766-KR-41,9121-TR-34,2
7250-US-NC,15557-FR-HDF,2
12741-PL-14,3320-DE-NI,2
4780-TW-TPE,4766-KR-11,2
7922-US-MI,12400-IL-M,2
852-CA-BC,7738-BR-RJ,2
7922-US-IN,2200-FR-OCC,2
3479-US-GA,4837-CN-,2
